Date,Open,High,Low,Close
2017-07-05,1003.9,1010.5,1002.8,1009
2017-07-06,1011,1015.5,1011,1014.9
2017-07-07,1011.9,1015.4,1007.6,1015.1
2017-07-10,1018,1018.5,1006.2,1007
2017-07-11,1007.3,1010.3,999.8,1003.8
2017-07-12,1003.8,1005.2,989.8,991.1
2017-07-13,994,1001.9,991.9,1001.9
2017-07-14,999.6,1000.6,993.4,999.9
2017-07-17,1004.1,1014.5,1002.5,1014
2017-07-18,1014,1019,1011.6,1018.3
2017-07-19,1020.3,1032.3,1019.1,1031.9
2017-07-20,1032.8,1046.2,1031.8,1036
2017-07-21,1041.2,1041.9,1033.6,1036.7
2017-07-24,1038.7,1043,1034.3,1037.3
2017-07-25,1038.9,1039.9,1022,1022
2017-07-26,1024.9,1030,1018.9,1030
2017-07-27,1030.2,1034.8,1025.8,1029.9
2017-07-28,1027,1027,1006.4,1006.4
2017-07-31,1002.9,1008.8,996.5,1006.4
2017-08-01,1006.4,1012.4,1002.9,1006
2017-08-02,1009,1014.1,1008.3,1012.2
2017-08-03,1011.7,1012.5,985.5,985.5
2017-08-04,986.2,993.7,976.5,985.5
2017-08-07,987.9,1001.4,984.6,999.5
2017-08-08,1002,1005.2,992.7,1001.6
2017-08-09,997.4,999.8,990,991.1
2017-08-10,990.1,997.7,983.6,989.5
2017-08-11,970,985.9,969.1,969.1
2017-08-14,976.8,979.6,972.1,978.7
2017-08-16,985.6,993.6,983,992.6
2017-08-17,994.1,1006.3,991.2,1005.7
2017-08-18,996.6,1008.8,992.5,1002.2
2017-08-21,1006.2,1008,997.3,999
2017-08-22,1001.1,1008.9,1000.5,1005.2
2017-08-23,1010.3,1012.4,1003.6,1003.8
2017-08-24,1004,1011.8,1004,1011.8
2017-08-25,1014.2,1015.6,1010.6,1015.3
2017-08-28,1015.6,1024.5,1012.7,1022.3
2017-08-29,1019.2,1025.3,1013.6,1023.2
2017-08-30,1026.3,1030.9,1021,1021
2017-08-31,1024.2,1031.4,1024.1,1029.6
2017-09-01,1031.1,1040.6,1028.3,1036.2
2017-09-04,1025,1029.9,1016.5,1018
2017-09-05,1024,1030.2,1015.7,1020.2
2017-09-06,1020.2,1035.3,1019.9,1035.3
